Host Listings Count,Neighbourhood Group Cleansed,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy,Calculated host listings count,Reviews per Month,Name_Len,Name_Lang,Summary_Len,Summary_Lang,Space_Len,Space_Lang,Description_Len,Description_Lang,is_Thumbnail,is_HostAbout,is_ResponseInHours,Num_Host_Verifications,is_EntireHome,is_Bed,is_UpdatedToday
1.0,Centro,40.41010608050749,-3.714754034177323,Apartment,PrivateRoom,2,1.0,1.0,1.0,36.0,,,1,0,2,1,1,1,1,80,98.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,1.0,2.33,34,True,67,True,488,True,1000,True,True,True,False,4,False,True,False
3.0,Centro,40.416968822636726,-3.7094389211089993,Apartment,EntireHome,2,1.0,1.0,1.0,85.0,100.0,30.0,1,0,3,12,32,45,320,90,95.0,10.0,9.0,10.0,10.0,10.0,10.0,strict,2.0,2.69,32,False,241,True,1000,True,1000,True,True,True,False,6,True,True,False
4.0,Centro,40.40970517560235,-3.713561192884109,Apartment,PrivateRoom,2,1.0,1.0,1.0,20.0,100.0,,1,10,3,7,37,67,158,20,91.0,9.0,9.0,9.0,9.0,10.0,9.0,flexible,4.0,0.6,27,True,232,True,469,True,479,True,True,True,False,4,False,True,False
10.0,Centro,40.42319271738103,-3.7112486513892,Apartment,EntireHome,4,1.0,1.0,2.0,112.0,250.0,15.0,2,5,3,7,13,21,248,55,99.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,9.0,3.56,35,False,249,False,1000,False,1000,False,True,True,True,6,True,True,True
1.0,Centro,40.416513932601625,-3.717842752954697,Apartment,EntireHome,8,3.0,3.0,4.0,190.0,200.0,20.0,6,40,3,6,20,24,296,46,96.0,10.0,10.0,10.0,10.0,10.0,9.0,moderate,1.0,1.13,33,False,271,True,939,True,1000,True,True,True,True,4,True,True,False
114.0,Centro,40.416833945573366,-3.710239755712968,Apartment,PrivateRoom,2,2.0,1.0,1.0,30.0,,15.0,1,5,10,6,36,66,341,3,67.0,8.0,5.0,10.0,10.0,10.0,7.0,strict,97.0,0.14,24,True,370,False,187,False,923,False,True,True,True,4,False,True,False
114.0,Centro,40.41394547020656,-3.70563748329694,Apartment,PrivateRoom,1,1.0,1.0,1.0,18.0,,15.0,1,0,10,0,0,6,281,0,,,,,,,,strict,97.0,,24,True,341,False,129,False,991,False,True,True,True,4,False,True,False
6.0,Centro,40.40924754500767,-3.704051751419279,Apartment,PrivateRoom,2,1.0,1.0,1.0,38.0,70.0,12.0,1,10,2,12,42,72,347,78,93.0,10.0,10.0,9.0,10.0,9.0,9.0,moderate,3.0,2.2,29,False,148,True,0,False,1000,True,True,True,True,5,False,True,False
8.0,Centro,40.41200073894989,-3.70669131897594,Apartment,EntireHome,2,1.0,1.0,1.0,71.0,350.0,20.0,1,0,14,1,1,1,174,8,90.0,10.0,10.0,10.0,10.0,10.0,9.0,flexible,6.0,0.72,32,False,237,False,0,False,237,False,True,False,True,5,True,True,False
1.0,Centro,40.40994868119749,-3.695516673053713,Apartment,EntireHome,2,1.0,0.0,1.0,48.0,,,1,0,3,4,23,46,321,49,90.0,9.0,9.0,10.0,10.0,10.0,9.0,moderate,1.0,2.72,34,False,248,True,145,True,899,True,True,False,True,3,True,False,False
