onehotencoder__x0_day,onehotencoder__x0_days,onehotencoder__x0_hour,onehotencoder__x0_hours,onehotencoder__x1_Barajas,onehotencoder__x1_Carabanchel,onehotencoder__x1_Centro,onehotencoder__x1_Chamartin,onehotencoder__x1_Chamberi,onehotencoder__x1_CiudadLineal,onehotencoder__x1_Fuencarral,onehotencoder__x1_Hortaleza,onehotencoder__x1_Latina,onehotencoder__x1_Moncloa,onehotencoder__x1_Moratalaz,onehotencoder__x1_PuenteVallecas,onehotencoder__x1_Retiro,onehotencoder__x1_Salamanca,onehotencoder__x1_SanBlas,onehotencoder__x1_Tetuan,onehotencoder__x1_Usera,onehotencoder__x1_Vicalvaro,onehotencoder__x1_VillaVallecas,onehotencoder__x1_Villaverde,onehotencoder__x2_BedAndBreakfast,onehotencoder__x2_Condominium,onehotencoder__x2_House,onehotencoder__x2_Loft,onehotencoder__x2_Other,onehotencoder__x3_moderate,onehotencoder__x3_strict,Host Response Rate,Host Listings Count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Availability 30,Availability 365,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Reviews per Month,is_EntireHome,is_Bed
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,40.41010608050749,-3.714754034177323,2.0,1.0,1.0,36.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.33,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,3.0,40.416968822636726,-3.7094389211089993,2.0,1.0,1.0,85.0,100.0,30.0,1.0,0.0,3.0,12.0,320.0,95.0,10.0,9.0,10.0,10.0,10.0,10.0,2.69,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,4.0,40.40970517560235,-3.713561192884109,2.0,1.0,1.0,20.0,100.0,0.0,1.0,10.0,3.0,7.0,158.0,91.0,9.0,9.0,9.0,9.0,10.0,9.0,0.6,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,10.0,40.42319271738103,-3.7112486513892,4.0,1.0,1.0,112.0,250.0,15.0,2.0,5.0,3.0,7.0,248.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,3.56,1.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,40.416513932601625,-3.717842752954697,8.0,3.0,3.0,190.0,200.0,20.0,6.0,40.0,3.0,6.0,296.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.13,1.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,114.0,40.416833945573366,-3.710239755712968,2.0,2.0,1.0,30.0,0.0,15.0,1.0,5.0,10.0,6.0,341.0,67.0,8.0,5.0,10.0,10.0,10.0,7.0,0.14,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,114.0,40.41394547020656,-3.70563748329694,1.0,1.0,1.0,18.0,0.0,15.0,1.0,0.0,10.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,6.0,40.40924754500767,-3.704051751419279,2.0,1.0,1.0,38.0,70.0,12.0,1.0,10.0,2.0,12.0,347.0,93.0,10.0,10.0,9.0,10.0,9.0,9.0,2.2,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,8.0,40.41200073894989,-3.70669131897594,2.0,1.0,1.0,71.0,350.0,20.0,1.0,0.0,14.0,1.0,174.0,90.0,10.0,10.0,10.0,10.0,10.0,9.0,0.72,1.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,40.40994868119749,-3.695516673053713,2.0,1.0,0.0,48.0,0.0,0.0,1.0,0.0,3.0,4.0,321.0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,2.72,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,40.41085393918086,-3.70109925847529,3.0,1.0,0.0,60.0,0.0,0.0,1.0,0.0,2.0,3.0,6.0,100.0,10.0,8.0,10.0,10.0,10.0,10.0,0.3,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,40.40812372278415,-3.710367456487857,2.0,1.0,0.0,45.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,87.0,9.0,8.0,10.0,10.0,10.0,9.0,2.95,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,3.0,40.40608534102548,-3.704212674856171,2.0,1.0,1.0,40.0,0.0,5.0,1.0,0.0,2.0,17.0,77.0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0.56,0.0,1.0
